categoria,pregunta,respuesta
Precios y Planes,¿Cuánto cuesta un sitio web con ROOKS?,"Tenemos tres niveles según el alcance del proyecto. El nivel Esencial va desde $1,000 hasta $3,000 USD, el nivel Crecimiento de $3,000 a $7,000 USD, y el nivel Premium desde $7,000 USD en adelante. Para proyectos con requerimientos específicos como e-commerce avanzado o diseño 3D, hacemos una cotización personalizada sin costo ni compromiso."
Precios y Planes,¿Cuál es el plan más económico?,"Nuestro nivel de entrada parte desde $1,000 USD. Incluye diseño mobile-first, SEO básico, sitio 100% responsive y soporte post-lanzamiento. Es ideal para emprendedores o negocios que necesitan presencia profesional rápida."
Precios y Planes,¿Tienen planes de pago o cuotas?,"Trabajamos con pago por entregable, sin contratos largos ni pagos recurrentes forzosos. El esquema de pago exacto se define en la propuesta personalizada según el alcance del proyecto."
Precios y Planes,¿Cuánto cuesta un e-commerce?,"Los proyectos de tienda en línea entran en el nivel Crecimiento ($3,000–$7,000 USD) o Premium ($7,000+) dependiendo del número de productos, integraciones de pago y funcionalidades requeridas. Agenda una llamada gratuita y te damos un precio exacto."
Precios y Planes,¿Cobran por el dominio y el hosting?,"El dominio y el hosting se configuran como parte del lanzamiento. El costo depende del proveedor que elijas, pero te asesoramos en la mejor opción para tu caso. No hay costos ocultos — todo queda claro en la propuesta."
Precios y Planes,¿Hay cargos adicionales después de entregar el proyecto?,"No existen cargos ocultos. Si deseas mantenimiento continuo después del periodo de soporte post-lanzamiento, tenemos planes mensuales disponibles que se contratan de forma opcional."
Precios y Planes,¿Qué incluye el nivel Esencial?,"El nivel Esencial incluye diseño web profesional, diseño mobile-first (100% responsive), SEO básico, 2 rondas de revisión, soporte post-lanzamiento y entrega en 14 días."
Precios y Planes,¿Qué incluye el nivel Crecimiento?,"El nivel Crecimiento incluye todo lo del nivel Esencial más SEO avanzado con Analytics, diseño mobile-first mejorado, e-commerce premium y mayor alcance de funcionalidades. Entrega en 14 días."
Precios y Planes,¿Qué incluye el nivel Premium?,"El nivel Premium es nuestro servicio más completo. Incluye diseño 3D e interacciones a medida, sistemas de e-commerce premium, SEO avanzado + Analytics, soporte y mantenimiento prioritario, y todo lo de los niveles anteriores."
Precios y Planes,¿Ofrecen descuentos o promociones?,"Ocasionalmente tenemos promociones para proyectos de early-stage startups o referidos. Lo mejor es agendar una llamada gratuita para conocer tu caso y ver qué opciones tenemos disponibles."
